st_cnty_tract,cbsa_cd,cbsa_name,tot_safmr_vau,safmr_vau_share_occ_units
39153532901,10420,"Akron, OH ",5.7246947,12.833323
39133600402,10420,"Akron, OH ",355.97235,52.536076
39153534000,10420,"Akron, OH ",35.928448,5.3785033
39153534100,10420,"Akron, OH ",0,0
39153531801,10420,"Akron, OH ",197.89999,17.990908
39153530502,10420,"Akron, OH ",114.13699,48.363132
39153520302,10420,"Akron, OH ",108.24784,33.722069
39153520301,10420,"Akron, OH ",343.39999,66.809334
39153520105,10420,"Akron, OH ",507.33862,76.291519
39153510500,10420,"Akron, OH ",471.40482,68.334808
39153533400,10420,"Akron, OH ",204.38344,28.80998
39153533000,10420,"Akron, OH ",10.675299,14.623697
39153502800,10420,"Akron, OH ",174.39999,28.450243
39133600500,10420,"Akron, OH ",98.02298,26.636679
39153507500,10420,"Akron, OH ",489.6022,28.800129
39153532701,10420,"Akron, OH ",158.3893,44.53841
39153530105,10420,"Akron, OH ",245.39995,58.992405
39153507300,10420,"Akron, OH ",342.39999,40.81049
39153501100,10420,"Akron, OH ",102.79893,21.918747
39153507202,10420,"Akron, OH ",269.90274,41.396126
39153506400,10420,"Akron, OH ",188.0661,32.537388
39133602100,10420,"Akron, OH ",133.43581,31.103918
39153533101,10420,"Akron, OH ",12.008604,35.304508
39133601902,10420,"Akron, OH ",74,61.666821
39153506100,10420,"Akron, OH ",494.77286,37.612942
39153503702,10420,"Akron, OH ",340.60001,52.48074
39153503800,10420,"Akron, OH ",517.66345,47.887463
39133601400,10420,"Akron, OH ",720,52.136135
39133600706,10420,"Akron, OH ",60,50
39153532501,10420,"Akron, OH ",0,0
39153504100,10420,"Akron, OH ",255.60001,65.53846
39153520201,10420,"Akron, OH ",144.39473,44.15741
39153501700,10420,"Akron, OH ",174.63321,43.333302
39133601300,10420,"Akron, OH ",655,63.407551
39133600301,10420,"Akron, OH ",196.75999,19.715431
39153502500,10420,"Akron, OH ",124.33009,48.384617
39133600705,10420,"Akron, OH ",45.285069,52.051804
39153532004,10420,"Akron, OH ",19.719774,9.1035357
39153508600,10420,"Akron, OH ",437.8045,60.220703
39153532202,10420,"Akron, OH ",471.13016,63.83815
39153506600,10420,"Akron, OH ",653.20001,70.010719
39153530902,10420,"Akron, OH ",216.99672,33.487648
39153531002,10420,"Akron, OH ",55.200001,15.593221
39153532999,10420,"Akron, OH ",177.98592,36.029537
39153532706,10420,"Akron, OH ",61.119999,17.512894
39153530101,10420,"Akron, OH ",53.896008,19.742126
39153531401,10420,"Akron, OH ",150.85934,20.00787
39153530604,10420,"Akron, OH ",109,57.36842
39153533502,10420,"Akron, OH ",16.260857,6.3278279
39153530800,10420,"Akron, OH ",162.96339,38.316105
39153506700,10420,"Akron, OH ",117.6,37.813503
39153505800,10420,"Akron, OH ",551.79999,53.36557
39153520104,10420,"Akron, OH ",722.59998,67.156128
39153508301,10420,"Akron, OH ",579.64325,74.640053
39153502200,10420,"Akron, OH ",763.7132,44.69619
39153505900,10420,"Akron, OH ",122.79243,28.556379
39133601701,10420,"Akron, OH ",375.07309,34.793423
39153530103,10420,"Akron, OH ",68.158684,38.505409
39153506500,10420,"Akron, OH ",263.1546,47.586727
39153520202,10420,"Akron, OH ",740.52826,72.814972
39153532301,10420,"Akron, OH ",0,0
39153532502,10420,"Akron, OH ",38,34.545456
